"City","geom","Incoming","Outgoing","Risk"
"Millerville","0101000020E6100000C4FD04569AE357C0F40424AFDA084740",0,0,0.00035494659140021594
"Perley","0101000020E610000093CF11A14B3358C0A8B8445D8A964740",0,0,0.00020803781367222747
"Hibbing","0101000020E61000000F429327B53C57C07368F036F0B24740",0,0,0.00017672252380056003
"Wyoming","0101000020E6100000EB6C2348833E57C0A8DF2BA611AB4640",11,11,0.0011848894812265644
"Minnesota Lake","0101000020E6100000ECCC593F457557C076C6E7E8B8EC4540",2,3,0.0008793769915520864
"Minnesota Lake","0101000020E6100000A2C40FE7F97457C00740AE7F96EB4540",2,3,0.0008793769915520864
"Spring Hill","0101000020E6100000F99BF8083BB557C04B0267FDFAC24640",2,1,0.0005319769664777547
"Taunton","0101000020E6100000DEAFA1B0070458C0C0733E6D104C4640",0,0,0.00040822964953719174
"Quamba","0101000020E6100000494DBB19384B57C0C8D2164A30F54640",1,1,0.00043317785551788286
"Currie","0101000020E61000005FF9B97AACEA57C073627E6C02094640",0,0,0.0003321661078363598
"Mahtomedi","0101000020E61000007FFF85B0D23D57C0193012B2EC874640",194,188,0.01942829762463438
"Apple Valley","0101000020E6100000724D1174D84C57C078AF5BD5745F4640",19,9,0.0018458354267270674
"Saint Paul","0101000020E6100000AE489E6EA74657C0133CC17C51794640",69,36,0.007621753658764423
"Cottonwood","0101000020E6100000E2C5DFEC3CEB57C026F39954724E4640",0,0,0.0004309174091488888
"North Branch","0101000020E61000004F8CE752633D57C0FFA2F3B677C14640",4,0,0.00037836115573696474
"Nevis","0101000020E6100000E9527E4BE9B557C089A97239797B4740",0,0,0.0001221134145966218
"Isanti","0101000020E6100000F8BBF4406B4F57C0EA222A4B08BF4640",2,5,0.0006028411319675528
"Zimmerman","0101000020E6100000D282A5CE4A6657C033B1693679B84640",3,2,0.0005596169284695557
"Saint Peter","0101000020E61000005C32ACF1D57D57C04FDA10E1382A4640",9,16,0.0011366087895619634
"Victoria","0101000020E610000027FE3D23226A57C06A517238636E4640",20,33,0.0023574696421711323
"Montrose","0101000020E610000072BC8779E77A57C06545361690884640",14,4,0.001278253605101131
"Mankato","0101000020E610000074E7B8C0737E57C04B36AE48D4154640",75,69,0.007848116949912545
"Mankato","0101000020E61000002666C9C75C7B57C082F317A9CB1E4640",75,69,0.007848116949912545
"Mankato","0101000020E61000009C081C070E8157C03D80D31E1B194640",75,69,0.007848116949912545
"Stillwater","0101000020E610000089B3C8FB353557C0D304BC8B50874640",16,25,0.002464865918303629
"Skyline","0101000020E6100000378E117B2D8257C002C90459FE114640",8,14,0.0014501823589497217
"Hastings","0101000020E610000047E88AE1A83657C0AAC6C7FA975D4640",15,13,0.0016764115521143957
"Hastings","0101000020E6100000586C3F7C9C3657C01573857062604640",15,13,0.0016764115521143957
